id,source_culture,target_culture,genre,content_similarity,target_culture_signal,adaptation_depth,lexical_shift,stereotype_risk,composite_score
eecc-story-0052,global_generic,west_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0053,global_generic,central_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0054,global_generic,northeast_region,story,0.7178,0.6667,0.0833,0.2778,0.0,0.5624
eecc-story-0055,global_generic,north_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0056,global_generic,south_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0057,global_generic,east_region,story,0.7178,0.6316,0.0833,0.2778,0.0,0.5536
eecc-story-0058,global_generic,west_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0059,global_generic,central_region,story,0.7335,0.6316,0.0833,0.2632,0.0,0.5576
eecc-story-0060,global_generic,northeast_region,story,0.7002,0.6667,0.0833,0.2941,0.0,0.5578
eecc-story-0061,global_generic,north_region,story,0.7335,0.6,0.0833,0.2632,0.0,0.5497
eecc-story-0062,global_generic,south_region,story,0.7178,0.6667,0.0833,0.2778,0.0,0.5624
eecc-story-0063,global_generic,east_region,story,0.7178,0.6667,0.0833,0.2778,0.0,0.5624
